l_atc1,rem_moy,boites_moy,cout_boite,taux_croissance,cluster,profil
Système nerveux,2716757840.0,856968322.0,3.17,3.1,0,"fort volume, dépenses faibles, prix unitaire élevé, stable"
Système digestif et métabolisme,2381737393.0,397246242.0,6.0,3.27,0,"fort volume, dépenses faibles, prix unitaire élevé, stable"
Anti-infectieux (usage systémique),2159636267.0,150655781.0,14.33,3.44,0,"fort volume, dépenses faibles, prix unitaire élevé, stable"
Sang et organes hématopoiétiques,2016149028.0,125627713.0,16.05,5.39,0,"fort volume, dépenses faibles, prix unitaire élevé, stable"
Système cardio-vasculaire,2001807502.0,243296619.0,8.23,-0.22,0,"fort volume, dépenses faibles, prix unitaire élevé, stable"
Système respiratoire,1483462006.0,146572378.0,10.12,5.77,0,"fort volume, dépenses faibles, prix unitaire élevé, stable"
Organes sensoriels,1121153276.0,78334426.0,14.31,3.2,0,"fort volume, dépenses faibles, prix unitaire élevé, stable"
"Hormones systémiques, à l exclusion des hormones sexuelles et des insulines",591537212.0,63209126.0,9.36,0.97,0,"fort volume, dépenses faibles, prix unitaire élevé, stable"
Système génito-urinaire et hormones sexuelles,417075362.0,63114580.0,6.61,-1.9,0,"fort volume, dépenses faibles, prix unitaire élevé, stable"
Système musculo-squelettique,378220025.0,92705300.0,4.08,3.25,0,"fort volume, dépenses faibles, prix unitaire élevé, stable"
Dermatologie,336277891.0,81410562.0,4.13,14.13,0,"fort volume, dépenses faibles, prix unitaire élevé, stable"
Divers,273454601.0,9263255.0,29.52,-13.66,0,"fort volume, dépenses faibles, prix unitaire élevé, stable"
"Antiparasitaires, insecticides et répulsifs",45710504.0,6155937.0,7.43,-1.66,0,"fort volume, dépenses faibles, prix unitaire élevé, stable"
Antinéoplasiques et agents immunomodulants,5735703982.0,18241929.0,314.42,9.66,1,"faible volume, dépenses élevées, prix unitaire élevé, croissance +9.7%/an"
