Variable,Coefficient,Std. Error,t-stat,p-value,Signif.
const,-76831879427.3324,25726404164.4049,-2.9865,0.0036,**
annee,38302049.934,12621021.2715,3.0348,0.0031,**
boites_total,9.9689,3.3333,2.9907,0.0036,**
ATC_ANTINEOPLASIQUES ET AGENTS IMMUNOMODULANTS,6194413171.7272,475172504.3442,13.0361,0.0,***
"ATC_ANTIPARASITAIRES, INSECTICIDES ET REPULSIFS",-666642983.2714,520661228.7086,-1.2804,0.2036,
ATC_Anti-infectieux (usage systmique),511165493.9153,250431340.0441,2.0411,0.0441,*
ATC_Anti-infectieux (usage systémiq,78843742.0988,261397740.1097,0.3016,0.7636,
ATC_Anti-infectieux (usage systémique),82715732.6356,168734899.5859,0.4902,0.6251,
ATC_Antinoplasiques et agents immunomodulants,7258252773.0869,492381039.2921,14.7411,0.0,***
ATC_Antinéoplasiques et agents immu,3046352610.3875,556653126.7984,5.4726,0.0,***
ATC_Antinéoplasiques et agents immunomodulants,4215311912.6192,498864610.8623,8.4498,0.0,***
"ATC_Antiparasitaires, insecticides",-406053329.2145,579461056.0631,-0.7007,0.4852,
"ATC_Antiparasitaires, insecticides et rpulsifs",-743702262.1033,540573527.0281,-1.3758,0.1722,
"ATC_Antiparasitaires, insecticides et répulsifs",-516202240.082,532291220.5629,-0.9698,0.3347,
ATC_DERMATOLOGIE,-998256483.4102,302023004.5929,-3.3052,0.0013,**
ATC_DIVERS,-493915020.9848,510555197.899,-0.9674,0.3358,
ATC_Dermatologie,-1047467685.4887,294142786.8436,-3.5611,0.0006,***
ATC_Divers,-325896237.8828,517451805.5877,-0.6298,0.5304,
"ATC_HORMONES SYSTEMIQUES, A L EXCLUSION DES HORMONES SEXUELLES ET DES INSULINES",-661959372.5099,354745841.2299,-1.866,0.0652,
"ATC_Hormones systmiques,  l exclusion des hormones sexuelles et des insulines",-678227673.3675,394851885.3946,-1.7177,0.0892,
"ATC_Hormones systémiques, à l exclu",-554258876.2141,392002534.5594,-1.4139,0.1607,
"ATC_Hormones systémiques, à l exclusion des hormones sexuelles et des insulines",-548322271.3068,354988267.9421,-1.5446,0.1258,
ATC_ORGANES SENSORIELS,-222540502.3161,296094970.1199,-0.7516,0.4542,
ATC_Organes sensoriels,-214858928.9414,309432927.3818,-0.6944,0.4892,
ATC_SANG ET ORGANES HEMATOPOIETQUES,453922605.2808,191056631.6188,2.3759,0.0196,*
ATC_SYSTEME CARDIO-VASCULAIRE,-1018850003.1477,339418000.5712,-3.0018,0.0034,**
ATC_SYSTEME DIGESTIF ET METABOLISME,-2235403715.2392,891104124.7636,-2.5086,0.0139,*
ATC_SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES,-863285506.8189,353903956.2687,-2.4393,0.0166,*
ATC_SYSTEME MUSCULO-SQUELETTIQUE,-1076500283.949,282450092.7296,-3.8113,0.0002,***
ATC_SYSTEME NERVEUX,-6415426499.2224,2401839167.1034,-2.671,0.0089,**
ATC_SYSTEME RESPIRATOIRE,-288026950.0997,175555732.4644,-1.6407,0.1042,
ATC_Sang et organes hmatopoitiques,394668258.2576,257799190.9373,1.5309,0.1292,
ATC_Sang et organes hématopoiétique,-48934660.237,300934001.0444,-0.1626,0.8712,
ATC_Sang et organes hématopoiétiques,71244974.2809,200220933.2461,0.3558,0.7228,
ATC_Systme cardio-vasculaire,-823720014.8378,396712680.9922,-2.0764,0.0406,*
ATC_Systme digestif et mtabolisme,-1924024256.085,930543340.9674,-2.0676,0.0415,*
ATC_Systme gnito-urinaire et hormones sexuelles,-923896783.7845,389820457.0883,-2.3701,0.0199,*
ATC_Systme musculo-squelettique,-1037774914.3167,334110205.2169,-3.1061,0.0025,**
ATC_Systme nerveux,-5551966251.6801,2314937142.7231,-2.3983,0.0185,*
ATC_Systme respiratoire,-269017480.3764,249265020.9563,-1.0792,0.2833,
ATC_Système cardio-vasculaire,-988276112.5523,329378585.51,-3.0004,0.0035,**
ATC_Système digestif et métabolisme,-2121233459.6834,770139239.7919,-2.7544,0.0071,**
ATC_Système génito-urinaire et horm,-580895307.4566,410101368.3392,-1.4165,0.16,
ATC_Système génito-urinaire et hormones sexuelles,-720104151.2511,352985651.7662,-2.04,0.0442,*
ATC_Système musculo-squelettique,-1127716948.6494,260355736.8068,-4.3314,0.0,***
ATC_Système nerveux,-6506365745.4597,2317686253.6388,-2.8073,0.0061,**
ATC_Système respiratoire,-702998009.3517,168602313.7419,-4.1696,0.0001,***
